Timestamp :),Title,"First Author (Last, First) (no middle initials)",Publication Date (YYYY-MM),"Reviewer (your name, First Last i.e. Meghan Cum)","Verifier (name, good or bad)","Meets the sufficient criteria: uses mice or rats, is not a review or protocol paper, tests for social memory/recognition/discrimination",Species,Wild Rodents Used? (like literally caught from the wild),Subject Strain  (i.e. C57BL6J or Sprague-Dawley) if multiple strains were used separate them by a semi colon and if mixed state mixed i.e. 129/SvJ mixed C57BL/6J; 129/SvJ mixed Swiss black,Final Strain,Subject Type,Subject Age,Subject Sex,Subject Housing,"Social Agent: degree of familiarity (if subject is exposed to a social agent ONLY twice, each trial being 5 or less minutes, the degree of familiarity is 5 min or less, NOT the total time exposed to the social agent) ",Was odor used?,Subject Social Rank,Intertrial Interval (ITI) (time between trials),Social Agent Strain ,Social Agent Age (check all that apply),Social Agent Sex,"If female, ovariectiomized?",Social Agent Identity,Social Agent Housing,Social Agent Rank,Social Agent Type,Social Discrimination Tested? i.e. novel and familiar social agents presented at the *same time* to the subject,Additional novel social agent used at all? ,Qualities Shared w/ Subject Mouse (i.e. same age between social agents and subject) [Social Agent],Do you have questions on this paper/should Meghan look this one over? ,"If you answered yes to the previous question, what concerns/questions did you have specifically on this paper? "
4/16/2022 18:52:35,Female rats are more vulnerable to lasting cognitive impairment after isoflurane exposure on postnatal day 4 than 7,"Russell, Jennifer",2019-04,Amelia Chambers,"Amelia Chambers, good",yes,Rats,no,Sprague Dawley,Sprague Dawley,WT (wild type),juvenile (3-7 weeks or week not specified),Female,"group-housed, singly-housed",5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/16/2022 19:35:07,Impaired social behaviour and molecular mediators of associated neural circuits during chronic Toxoplasma gondii infection in female mice,"Tyebji, Shiraz",2019-08,Amelia Chambers,"Amelia Chambers, good",yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),young adult (8-12 weeks),Female,group-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,young adult (8-12 weeks),"same sex as subject, always female",No,adult intact female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex","No, I feel confident, and I double-checked all my answers before submitting.",
4/20/2022 23:09:52,Conspecific infection threat rapidly biases the social responses of female mice: Involvement of oxytocin,"Kavaliers, Martin",2019-04,Amelia Chambers,"Amelia Chambers, good",yes,Mice,no,CD-1,CD-1,WT (wild type),Does not specify,Female,singly-housed,5 min exposure or less,only odor was used (no animals present),Does not specify,not specified,CD-1,Does not specify,Uses both,No,"not specified male, not specified intact female",singly-housed,Does not specify,WT (wild type),yes,Yes,"Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/22/2022 11:39:17,Ultrasonic vocalizations as an index of social memory in female mice,"D'Amato, Francesca",2001-08,Naeliz Lopez,,yes,Mice,no,Outbreed Albino NMRI,other mouse (outbred),WT (wild type),Does not specify,Female,"group-housed, singly-housed",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Outbreed Albino NMRI,Does not specify,"same sex as subject, always female",No,not specified intact female,group-housed,Does not specify,WT (wild type),no,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/22/2022 15:52:30,Estradiol prevents olfactory dysfunction induced by A-β 25–35 injection in hippocampus,"Bernal-Mondragón, Carlos",2013-09,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Female,group-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify ,infant (0-21 days),Does not specify,,infant not specified,group-housed,Does not specify,WT (wild type),yes,Yes,"Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/25/2022 13:29:59,Short-term social memory deficits in adult female mice exposed to tannery effluent and possible mechanism of action,"Estrela, Fernanda ",2017-10,Ryo Iwata,"Leo, good",yes,Mice,no,Swiss,Swiss,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Female,singly-housed for more than a few hours and less than a week,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Swiss,"young adult (8-12 weeks), adult (12-24 weeks)","same sex as subject, always female",No,adult intact female,singly-housed for more than a few hours and less than a week,Does not specify,WT (wild type),no,No,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/26/2022 14:20:22,Estradiol prevents ozone-induced increases in brain lipid peroxidation and impaired social recognition memory in female rats,"Guevara-Guzman, Rosalinda",2009-03,Erika Wangia,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Female,group-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/27/2022 8:33:39,"Adverse Social Experiences in Adolescent Rats Result in Enduring Effects on Social Competence, Pain Sensitivity and Endocannabinoid Signaling","Schneider, Peggy",2016-10,Jocelyn Santiago Perez,,yes,Rats,no,Wistar RccHan rats,Wistar,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Female,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar rat,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/27/2022 18:07:18,Scopolamine-induced deficits in social memory in mice: Reversal by donepezil,"Riedel, Gernot",2009-12,Erika Wangia,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),"juvenile (3-7 weeks or week not specified), young adult (8-12 weeks)",Female,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,Does not specify,"same sex as subject, always female",No,not specified intact female,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 14:07:33,"Impaired cognition, sensorimotor gating, and hippocampal long-term depression in mice lacking the prostaglandin E2 EP2 receptor","Savonenko, Alena",2009-05,Erika Wangia,,yes,Mice,no,C57BL/6,C57BL/6,both,"adult (12-24 weeks), adult (24-40 weeks), old (+40 weeks)",Female,Does not specify,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 15:07:53,"Somatosensorimotor and Odor Modification, Along with Serotonergic Processes Underlying the Social Deficits in BTBR T+ Itpr3tf/J and BALB/cJ Mouse Models of Autism","Arakawa, Hiroyuki",2020-10,Ezra Wright,,yes,Mice,no,B6; BALB/C; BTBR,"C57BL/6, other mouse",WT (wild type),adult (12-24 weeks),Female,group-housed,5 min exposure or less,animals always present,Does not specify,1-5 minutes,B6; BALB; BTBR,adult (12-24 weeks),"same sex as subject, always female",No,adult intact female,group-housed,Does not specify,"transgenic (Cre-mouse line, KO mouse line)",no,No,"Age, Sex, Housing History","No, I feel confident, and I double-checked all my answers before submitting.",
4/28/2022 15:53:30,Pubertal immune challenge blocks the ability of estradiol to enhance performance on cognitive tasks in adult female mice,"Ismail, Nafissa ",2013-07,Meghan Cum,,yes,Mice,no,CD1,CD-1,WT (wild type),adult (12-24 weeks),Female,singly-housed,"5 min exposure or less, 15 minutes",animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Does not specify ,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/29/2022 9:08:44,Metformin prevents cisplatin-induced cognitive impairment and brain damage in mice,"Zhou, Wenjou",2016-03,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),young adult (8-12 weeks),Female,singly-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/30/2022 12:07:40,Differential effects of progesterone on social recognition and the avoidance of pathogen threat by female mice,"Kavaliers, Martin",2021-01,Erika Wangia,,yes,Mice,no,CD-1,CD-1,WT (wild type),young adult (8-12 weeks),Female,singly-housed,5 min exposure or less,only odor was used (no animals present),Does not specify,not specified,CD-1,young adult (8-12 weeks),"opposite sex as subject, always male",,adult male,singly-housed,Does not specify,WT (wild type),yes,Yes,"Age, Strain, Housing History, Type (WT vs transgenic)","Yes, this one was tricky.",I am unsure they use the male CD-1s as stimuli that they mention in the materials and methods.
4/30/2022 14:39:33,"Combination of MAP6 deficit, maternal separation and MK801 in female mice: A 3-hit animal model of neurodevelopmental disorder with cognitive deficits","Percelay, Solenn",2021-09,Erika Wangia,"Ezra, good",yes,Mice,no,C57BL6/129SvPas,C57BL/6 mix,both,young adult (8-12 weeks),Female,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
5/1/2022 12:55:52,Oxytocin system driven by experiences modifies social recognition and neuron morphology in female BALB/c mice,"Wei, Fengmei",2021-12,Erika Wangia,,yes,Mice,no,BALB/c,BALB/c,WT (wild type),adult (12-24 weeks),Female,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,BALB/c,Does not specify,"same sex as subject, opposite sex as subject, Uses both",No,"not specified male, not specified intact female",Does not specify,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
5/1/2022 13:23:30,Neural correlates of beneficial effects of young plasma treatment in aged mice: PET-SPM analyses and neuro-behavioural/molecular biological studies,"Zhang, Kai",2021-12,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),"adult (12-24 weeks), old (+40 weeks)",Female,Does not specify,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,Does not specify,"adult (12-24 weeks), old (+40 weeks)","same sex as subject, always female",No,adult intact female,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
5/2/2022 9:42:18,Microparticle-based delivery of oxytocin receptor antisense DNA in the medial amygdala blocks social recognition in female mice,"Choleris, Elena",2007-03,Erika Wangia,,yes,Mice,no,129/Sv mixed Black Swiss,mix,"transgenic (Cre or Flp line, KO line)",adult (12-24 weeks),Female,"group-housed, singly-housed for more than a few hours and less than a week",15 minutes,animals always present,Does not specify,over 5 min - less than an hour,Swiss-Webster,Does not specify,"same sex as subject, always female",Yes,ovariectomized female,group-housed,Does not specify,WT (wild type),yes,Yes,Sex,"Yes, this one was tricky.",They say the subject is from a breeding of WT and OTKO; would that make them transgenic?
5/3/2022 16:30:44,Early social enrichment affects responsiveness to different social cues in female mice,"Gracceva, Guilia",2009-01,Erika Wangia,,yes,Mice,no,ICR,ICR,WT (wild type),adult (12-24 weeks),Female,"group-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,adult (12-24 weeks),"same sex as subject, always female",No,adult intact female,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
5/4/2022 15:39:27,Vaginocervical stimulation enhances social recognition memory in rats via oxytocin release in the olfactory bulb,"Larrazolo-Lopez, A",2008-03,Ezra Wright,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Female,group-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always female",No,juvenile female,group-housed,Does not specify,WT (wild type),no,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
5/5/2022 16:09:50,Arginine vasopressin V1a receptor antagonist impairs maternal memory in rats,"Nephew, Benjamin",2008-09,Ezra Wright,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),adult (week not specified),Female,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Sprague-Dawley,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
5/6/2022 12:42:49,Mild cognitive deficits associated to neocortical microgyria in mice with genetic deletion of cellular prion protein,"Xikota, Joao",2008-11,Ezra Wright,,yes,Mice,no,129/Sv crossed C57BL/6J; Zrch I,"C57BL/6 mix, other mouse",both,adult (12-24 weeks),Female,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,129/Sv crossed C57BL/6J,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,None,"No, I feel confident, and I double-checked all my answers before submitting.",
5/6/2022 13:30:27,"Characterization of SSR103800, a selective inhibitor of the glycine transporter-1 in models predictive of therapeutic activity in schizophrenia","Boulay, Denis",2008-11,Ezra Wright,,yes,Rats,no,Wistar Han,Wistar,WT (wild type),adult (week not specified),Female,singly-housed,30 minutes,animals always present,Does not specify,no ITI,Wistar,juvenile (3-7 weeks or week not specified),"opposite sex as subject, always male",,juvenile male,singly-housed,Does not specify,WT (wild type),yes,Yes,"Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
